 time_between_2_SV	 jitter
1011	761.000000
905	655.000000
34	216.000000
28	222.000000
57	193.000000
43	207.000000
767	517.000000
57	193.000000
574	324.000000
73	177.000000
414	164.000000
937	687.000000
188	62.000000
155	95.000000
45	205.000000
175	75.000000
41	209.000000
137	113.000000
207	43.000000
341	91.000000
34	216.000000
145	105.000000
140	110.000000
163	87.000000
253	3.000000
143	107.000000
57	193.000000
479	229.000000
298	48.000000
923	673.000000
355	105.000000
638	388.000000
639	389.000000
343	93.000000
82	168.000000
29	221.000000
202	48.000000
64	186.000000
607	357.000000
563	313.000000
115	135.000000
42	208.000000
249	1.000000
408	158.000000
183	67.000000
36	214.000000
398	148.000000
36	214.000000
28	222.000000
463	213.000000
386	136.000000
1010	760.000000
57	193.000000
148	102.000000
694	444.000000
37	213.000000
292	42.000000
47	203.000000
35	215.000000
137	113.000000
63	187.000000
142	108.000000
211	39.000000
756	506.000000
252	2.000000
44	206.000000
951	701.000000
965	715.000000
973	723.000000
55	195.000000
39	211.000000
23	227.000000
37	213.000000
144	106.000000
570	320.000000
52	198.000000
39	211.000000
970	720.000000
1014	764.000000
861	611.000000
101	149.000000
199	51.000000
150	100.000000
283	33.000000
374	124.000000
34	216.000000
576	326.000000
344	94.000000
222	28.000000
136	114.000000
91	159.000000
68	182.000000
462	212.000000
939	689.000000
1021	771.000000
287	37.000000
132	118.000000
533	283.000000
40	210.000000
21	229.000000
926	676.000000
943	693.000000
1005	755.000000
48	202.000000
58	192.000000
876	626.000000
145	105.000000
630	380.000000
36	214.000000
138	112.000000
1030	780.000000
955	705.000000
30	220.000000
38	212.000000
359	109.000000
122	128.000000
387	137.000000
1034	784.000000
941	691.000000
1003	753.000000
42	208.000000
21	229.000000
21	229.000000
20	230.000000
18	232.000000
17	233.000000
26	224.000000
45	205.000000
39	211.000000
703	453.000000
583	333.000000
80	170.000000
171	79.000000
42	208.000000
615	365.000000
28	222.000000
139	111.000000
193	57.000000
82	168.000000
167	83.000000
128	122.000000
696	446.000000
964	714.000000
682	432.000000
134	116.000000
182	68.000000
990	740.000000
28	222.000000
950	700.000000
43	207.000000
897	647.000000
24	226.000000
997	747.000000
914	664.000000
998	748.000000
55	195.000000
18	232.000000
18	232.000000
194	56.000000
67	183.000000
629	379.000000
988	738.000000
944	694.000000
998	748.000000
967	717.000000
31	219.000000
23	227.000000
943	693.000000
55	195.000000
913	663.000000
1004	754.000000
963	713.000000
807	557.000000
157	93.000000
61	189.000000
52	198.000000
144	106.000000
735	485.000000
919	669.000000
48	202.000000
513	263.000000
34	216.000000
22	228.000000
371	121.000000
552	302.000000
439	189.000000
974	724.000000
1007	757.000000
934	684.000000
27	223.000000
23	227.000000
96	154.000000
48	202.000000
34	216.000000
777	527.000000
825	575.000000
29	221.000000
72	178.000000
65	185.000000
516	266.000000
438	188.000000
1009	759.000000
1151	901.000000
43	207.000000
158	92.000000
569	319.000000
963	713.000000
1013	763.000000
26	224.000000
31	219.000000
914	664.000000
958	708.000000
64	186.000000
913	663.000000
975	725.000000
29	221.000000
34	216.000000
34	216.000000
935	685.000000
929	679.000000
967	717.000000
44	206.000000
18	232.000000
18	232.000000
18	232.000000
24	226.000000
854	604.000000
48	202.000000
45	205.000000
27	223.000000
89	161.000000
183	67.000000
608	358.000000
992	742.000000
414	164.000000
128	122.000000
403	153.000000
977	727.000000
47	203.000000
21	229.000000
21	229.000000
877	627.000000
46	204.000000
929	679.000000
998	748.000000
729	479.000000
121	129.000000
31	219.000000
27	223.000000
50	200.000000
118	132.000000
78	172.000000
54	196.000000
756	506.000000
42	208.000000
902	652.000000
988	738.000000
48	202.000000
21	229.000000
19	231.000000
21	229.000000
26	224.000000
822	572.000000
996	746.000000
763	513.000000
178	72.000000
56	194.000000
498	248.000000
432	182.000000
1013	763.000000
425	175.000000
173	77.000000
103	147.000000
230	20.000000
616	366.000000
385	135.000000
53	197.000000
50	200.000000
77	173.000000
65	185.000000
394	144.000000
333	83.000000
986	736.000000
1020	770.000000
929	679.000000
98	152.000000
481	231.000000
389	139.000000
975	725.000000
912	662.000000
57	193.000000
50	200.000000
29	221.000000
115	135.000000
58	192.000000
722	472.000000
997	747.000000
62	188.000000
249	1.000000
97	153.000000
41	209.000000
472	222.000000
842	592.000000
615	365.000000
530	280.000000
169	81.000000
808	558.000000
965	715.000000
522	272.000000
266	16.000000
205	45.000000
535	285.000000
717	467.000000
